UID,logtime,payID,product_id,product_price
27878963,2019-10-01T05:58:55.574Z,P3863,package17,1800
27878963,2019-10-01T05:59:15.330Z,P5067,package18,1800
27878963,2019-10-01T05:59:35.823Z,P7328,package211,1800
27878963,2019-10-01T05:59:55.685Z,P5742,package212,1800
27878963,2019-10-01T06:04:47.071Z,P976,package122,24600
27878963,2019-10-01T06:04:47.130Z,P976,package122,24600
27875495,2019-10-01T21:45:50.832Z,P5598,package17,1800
27875495,2019-10-01T22:17:03.007Z,P12767,package211,1800
27875495,2019-10-02T00:51:41.865Z,P4308,mail1,1800
27887065,2019-10-02T01:00:53.932Z,P9572,package301,4200
27888201,2019-10-02T01:05:55.377Z,P8724,package17,1800
27880604,2019-10-02T01:20:02.555Z,P8386,package211,1800
27880604,2019-10-02T01:20:31.368Z,P9021,package18,1800
27880604,2019-10-02T01:20:53.311Z,P2880,package17,1800
27880604,2019-10-02T01:21:23.356Z,P6221,package212,1800
27880604,2019-10-02T02:20:25.698Z,P12640,package215,1800
27880604,2019-10-02T02:26:10.491Z,P11570,limited29,4200
27880604,2019-10-02T02:56:54.081Z,P2617,package242,6600
27891537,2019-10-02T03:18:07.627Z,P1160,package17,1800
27891537,2019-10-02T03:18:29.943Z,P3491,package18,1800
27891537,2019-10-02T03:18:48.366Z,P3505,package211,1800
27891537,2019-10-02T03:19:22.041Z,P10499,package212,1800
27896416,2019-10-02T06:53:22.063Z,P3741,package213,1800
27896416,2019-10-02T06:59:20.206Z,P391,package211,1800
27896416,2019-10-02T06:59:38.543Z,P1476,package212,1800
27897651,2019-10-02T09:22:59.222Z,P6041,limited29,4200
27897651,2019-10-02T09:26:18.569Z,P483,package17,1800
27901852,2019-10-02T18:16:19.942Z,P6198,package17,1800
27904887,2019-10-02T21:53:00.088Z,P10535,package17,1800
27904887,2019-10-02T21:53:25.692Z,P1421,package18,1800
27904887,2019-10-02T21:53:56.443Z,P15,package211,1800
27904887,2019-10-02T21:54:19.299Z,P5018,package212,1800
27901852,2019-10-02T22:02:42.121Z,P278,package211,1800
27905824,2019-10-02T23:03:10.540Z,P12311,package213,1800
